Nome do Banco;CNPJ;Classificação do Banco;Quantidade de Clientes do Bancos;Índice de reclamações;Quantidade de reclamações;Índice de satisfação dos funcionários dos bancos;Índice de satisfação com salários dos funcionários dos bancos;ano_tri
BANCO TOYOTA DO BRASIL S.A.;3215790;S4;152990;;13.0;0.0;0.0;202104
BANCO TOYOTA DO BRASIL S.A.;3215790;S4;151938;;13.0;0.0;0.0;202201
BANCO TOYOTA DO BRASIL S.A.;3215790;S4;154520;;28.0;0.0;0.0;202203
BANCO TOYOTA DO BRASIL S.A.;3215790;S4;155246;;10.0;0.0;0.0;202204
BANCO TRIANGULO S.A.;17351180;S4;1953437;;27.0;0.0;0.0;202101
BANCO TRIANGULO S.A.;17351180;S4;1995911;;28.0;0.0;0.0;202102
BANCO TRIANGULO S.A.;17351180;S4;2025332;;31.0;0.0;0.0;202103
BANCO TRIANGULO S.A.;17351180;S4;1977611;;40.0;0.0;0.0;202104
BANCO TRIANGULO S.A.;17351180;S4;1938394;;43.0;0.0;0.0;202201
BANCO TRIANGULO S.A.;17351180;S4;1740049;;42.0;0.0;0.0;202203
BANCO TRIANGULO S.A.;17351180;S4;1744811;;33.0;0.0;0.0;202204
BANCO TRICURY S.A.;57839805;S4;685;;2.0;0.0;0.0;202101
BANCO TRICURY S.A.;57839805;S4;972;;1.0;0.0;0.0;202204
BANCO VIPAL;9526594;S4;;0.0;;0.0;0.0;
BANCO VOLKSWAGEN;59109165;S3;;0.0;;0.0;0.0;
BANCO VOTORANTIM S.A.;59588111;S2;;0.0;;0.0;0.0;
BANCO WOORI BANK DO BRASIL S.A.;15357060;S4;;0.0;;0.0;0.0;
BANCOOB;2038232;S3;4576738;;68.0;0.0;0.0;202101
BANESTES;28127603;S3;1232727;;48.0;0.0;0.0;202101
BANESTES;28127603;S3;1333666;;66.0;0.0;0.0;202102
BANESTES;28127603;S3;1345235;;73.0;0.0;0.0;202103
BANESTES;28127603;S3;1354013;;46.0;0.0;0.0;202104
BANESTES;28127603;S3;1367792;;65.0;0.0;0.0;202201
BANESTES;28127603;S3;1410675;;93.0;0.0;0.0;202203
BANESTES;28127603;S3;1427677;;52.0;0.0;0.0;202204
BANESTES S/A BANCO DO ESTADO DO ESPIRITO SANTO;28127603;S3;;0.0;;0.0;0.0;
BANIF;33884941;S4;;0.0;;0.0;0.0;
BANRISUL;92702067;S2;5080031;;536.0;4.2;4.1;202101
BANRISUL;92702067;S2;5052830;;660.0;4.2;4.1;202102
BANRISUL;92702067;S2;5041288;;855.0;4.2;4.1;202103
BANRISUL;92702067;S2;5073507;;556.0;4.2;4.1;202104
BANRISUL;92702067;S2;5091709;;403.0;4.2;4.1;202201
BANRISUL;92702067;S2;5198088;;296.0;4.2;4.1;202203
BANRISUL;92702067;S2;5213189;;383.0;4.2;4.1;202204
BARCLAYS;61146577;S4;;0.0;;0.0;0.0;
BARIGUI;556603;S4;42559;;48.0;0.0;0.0;202101
BARIGUI;556603;S4;99110;;42.0;0.0;0.0;202102
BARIGUI;556603;S4;172348;;72.0;0.0;0.0;202103
BARIGUI;556603;S4;255790;;104.0;0.0;0.0;202104
BARIGUI;556603;S4;309334;;93.0;0.0;0.0;202201
BARIGUI;556603;S4;349049;;105.0;0.0;0.0;202203
BARIGUI;556603;S4;355853;;76.0;0.0;0.0;202204
BBM;15114366;S4;;0.0;;0.0;0.0;
BBVA BRASIL BI S.A.;45283173;S4;0;;1.0;0.0;0.0;202103
BD REGIONAL DO EXTREMO SUL;92816560;S3;;0.0;;0.0;0.0;
BECKER FINANCEIRA SA - CFI;20443996;S4;119246;;1.0;0.0;0.0;202102
BECKER FINANCEIRA SA - CFI;20443996;S4;146480;;1.0;0.0;0.0;202201
BECKER FINANCEIRA SA - CFI;20443996;S4;198148;;1.0;0.0;0.0;202204
BEXS;13059145;S4;;0.0;;0.0;0.0;
BGC LIQUIDEZ DTVM LTDA;33862244;S4;;0.0;;0.0;0.0;
BIORC FINANCEIRA - CFI S.A.;11285104;S4;18321;;1.0;0.0;0.0;202103
BIORC FINANCEIRA - CFI S.A.;11285104;S4;18268;;1.0;0.0;0.0;202201
BIORC FINANCEIRA - CFI S.A.;11285104;S4;17785;;1.0;0.0;0.0;202203
BIORC FINANCEIRA - CFI S.A.;11285104;S4;254;;2.0;0.0;0.0;202204
BMG;61186680;S3;7202992;;2085.0;4.1;4.2;202101
BMG;61186680;S3;7804650;;1728.0;4.1;4.2;202102
BMG;61186680;S3;8140173;;2398.0;4.1;4.2;202103
BMG;61186680;S3;9105226;;1533.0;4.1;4.2;202104
BMG;61186680;S3;10358318;;1184.0;4.1;4.2;202201
BMG;61186680;S3;11561565;;1540.0;4.1;4.2;202203
BMG;61186680;S3;12267412;;1693.0;4.1;4.2;202204
BMW;4452473;S4;27683;;2.0;0.0;0.0;202102
BMW;4452473;S4;28019;;1.0;0.0;0.0;202103
BMW;4452473;S4;29782;;1.0;0.0;0.0;202104
BMW;4452473;S4;28673;;4.0;0.0;0.0;202201
BMW;4452473;S4;31181;;4.0;0.0;0.0;202203
BMW;4452473;S4;32997;;3.0;0.0;0.0;202204
BNDES;33657248;S2;;0.0;;0.0;0.0;
BNP PARIBAS;1522368;S3;2456247;;787.0;3.8;3.4;202101
BNP PARIBAS;1522368;S3;2373655;;818.0;3.8;3.4;202102
BNP PARIBAS;1522368;S3;2283925;;896.0;3.8;3.4;202103
BNP PARIBAS;1522368;S3;2238538;;748.0;3.8;3.4;202104
BNP PARIBAS;1522368;S3;2165958;;544.0;3.8;3.4;202201
